S.No,Date,Season,Episode,Title,Directed by,Written by,Duration_mins,Summary,Rating_IMDB,US.viewers_million,Years,Months
44,25-Sep-11,Season 4,E11,Crawl Space,Scott Winant,"Vince Gilligan, George Mastras, Sam Catlin",45,"Hank asks Walt to drive him to the laundry where the meth lab is hidden. Ted still won't pay the IRS so Skyler asks Saul for help, and Saul sends in his A-Team. Gus and Jesse return from Mexico, and Walt fears he is in trouble with Gus.",9.7,1550000,2011,September
45,2-Oct-11,Season 4,E12,End Times,Vince Gilligan,"Vince Gilligan, Thomas Schnauz, Moira Walley-Beckett",47,"The DEA is putting Hank and his family in protective custody; however, Walt refuses and awaits his fate in his house. Meanwhile, Brock has fallen terribly ill and Jesse suspects Walt may be behind it.",9.5,1730000,2011,October
46,9-Oct-11,Season 4,E13,Face Off,Vince Gilligan,Vince Gilligan,51,"Jesse is brought to the FBI for questioning on his knowledge of ricin. In a last effort to kill Gus, Walt must ask for help from an old enemy.",9.9,1900000,2011,October
47,15-Jul-12,Season 5,E1,Live Free or Die,Michael Slovis,Vince Gilligan,43,"Now that Gus is dead, Walt, Jesse, and Mike work to cover their tracks. Skyler panics when Ted Beneke wakes up.",9.3,2930000,2012,July
48,22-Jul-12,Season 5,E2,Madrigal,Michelle MacLaren,Vince Gilligan,48,Walt and Jesse seek out an unlikely partner for a new business venture. The DEA follows up new leads in its investigation.,8.9,2290000,2012,July
49,29-Jul-12,Season 5,E3,Hazard Pay,Adam Bernstein,"Vince Gilligan, Peter Gould",48,The guys put a business plan into action; Walt confesses to Marie.,8.9,2200000,2012,July
50,5-Aug-12,Season 5,E4,Fifty-One,Rian Johnson,"Vince Gilligan, Sam Catlin",48,It's Walt's 51st birthday. His return to the drug business causes Skyler to go into depression.,8.9,2290000,2012,August
51,12-Aug-12,Season 5,E5,Dead Freight,George Mastras,"Vince Gilligan, George Mastras",48,"Walter White's domestic life continues to deteriorate; at the same time, his growing business venture aims to steal a train car chock full of methylamine.",9.7,2480000,2012,August
52,19-Aug-12,Season 5,E6,Buyout,Colin Bucksey,"Vince Gilligan, Gennifer Hutchison",48,"In the aftermath of the train heist, Jesse and Mike decide to quit the business, leaving Walt to handle things on his own. Mike is being followed by the DEA.",9.1,2810000,2012,August
53,26-Aug-12,Season 5,E7,Say My Name,Thomas Schnauz,"Vince Gilligan, Thomas Schnauz",48,Mike and Jesse are out. Now Walt has to handle things on his own. Hank finally finds a rat in Mike's gang.,9.6,2980000,2012,August
54,2-Sep-12,Season 5,E8,Gliding Over All,Michelle MacLaren,"Vince Gilligan, Moira Walley-Beckett",48,"Walt expands his business overseas, and the money is pouring in.",9.6,2780000,2012,September
55,11-Aug-13,Season 5,E9,Blood Money,Bryan Cranston,"Vince Gilligan, Peter Gould",48,Walt is out of the meth business and trying to move on with his life. Jesse tries to get rid of his money. Hank now knows that Walt is the famous Heisenberg.,9.5,5920000,2013,August
56,18-Aug-13,Season 5,E10,Buried,Michelle MacLaren,"Vince Gilligan, Thomas Schnauz",48,"Hank is determined to bring down Walt. Walt scrambles to hide evidence before Hank gets to it, and Skyler tries to stop Hank and Marie from taking away the kids.",9.2,4770000,2013,August
57,25-Aug-13,Season 5,E11,Confessions,Michael Slovis,"Vince Gilligan, Gennifer Hutchison",48,"Walt makes his next move against Hank, putting Hank in a tough position. Hank confronts Jesse and attempts to turn him against Walt, and Jesse decides it's time to move on. Meanwhile, Todd has taken over the business.",9.6,4850000,2013,August
58,1-Sep-13,Season 5,E12,Rabid Dog,Sam Catlin,"Vince Gilligan, Sam Catlin",48,Walt discovers Jesse broke into his house and attempted to burn it down. Walt wants to protect his family so he moves them into a hotel for a few nights. Jesse makes plans to take down Walt.,9.2,4410000,2013,September
59,8-Sep-13,Season 5,E13,To'hajiilee,Michelle MacLaren,"Vince Gilligan, George Mastras",47,Jesse and Hank come up with an idea to take Walt down. Walt hires Todd's uncle to kill Jesse.,9.8,5110000,2013,September
60,15-Sep-13,Season 5,E14,Ozymandias,Rian Johnson,"Vince Gilligan, Moira Walley-Beckett",48,"Walt goes on the run. Jesse is taken hostage. Marie convinces Skyler to tell Walter, Jr. the truth.",10,6370000,2013,September
61,22-Sep-13,Season 5,E15,Granite State,Peter Gould,"Vince Gilligan, Peter Gould",55,Walt struggles as he adapts to aspects of his new identity. Jesse plans an escape against Jack and his crew.,9.7,6580000,2013,September
62,29-Sep-13,Season 5,E16,Felina,Vince Gilligan,Vince Gilligan,55,"Walter White makes one last attempt to secure his family's future, while also visiting some old enemies, during his final return to Albuquerque.",9.9,10280000,2013,September
